Month,TotalSales,GrowthPct
2014-05,55.50,NULL
2014-06,3714.29,6592.414414
2014-08,444.02,-88.045629
2014-09,617.70,39.115355
2014-10,248.25,-59.810588
2014-11,685.18,176.004028
2014-12,1881.55,174.606673
2015-01,99.26,-94.724562
2015-03,787.53,693.401169
2015-04,1582.22,100.909172
2015-09,4568.18,188.719647
2015-10,1319.91,-71.106436
2015-11,678.90,-48.564675
2015-12,1228.96,81.022242
2016-01,102.22,-91.682398
2016-03,63.44,-37.937781
2016-04,158.37,149.637453
2016-06,1524.79,862.802298
2016-07,77.88,-94.892411
2016-08,162.39,108.513097
2016-09,182.66,12.482296
2016-10,256.20,40.260593
2016-11,1417.08,453.114754
2016-12,2845.37,100.791063
2017-02,159.73,-94.386319
2017-04,15.55,-90.264822
2017-05,301.96,1841.864952
2017-06,51.31,-83.007683
2017-07,71.37,39.095693
2017-09,261.84,266.876839
2017-10,55.62,-78.758020
2017-11,684.37,1130.438691
2017-12,70.45,-89.705861
