Month,MonthlySales
2014-05,55.50
2014-06,3714.29
2014-08,444.02
2014-09,617.70
2014-10,248.25
2014-11,685.18
2014-12,1881.55
2015-01,99.26
2015-03,787.53
2015-04,1582.22
2015-09,4568.18
2015-10,1319.91
2015-11,678.90
2015-12,1228.96
2016-01,102.22
2016-03,63.44
2016-04,158.37
2016-06,1524.79
2016-07,77.88
2016-08,162.39
2016-09,182.66
2016-10,256.20
2016-11,1417.08
2016-12,2845.37
2017-02,159.73
2017-04,15.55
2017-05,301.96
2017-06,51.31
2017-07,71.37
2017-09,261.84
2017-10,55.62
2017-11,684.37
2017-12,70.45
